------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| fromConceptName                                                                                  | rel                  | toConceptName                                                                                    |
| "AM7-6-Outliers"                                                                                 | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
| "AM7-7-Bayesian methods"                                                                         | "is_subconcept_of"   | "AM7-Spatial statistics"                                                                         |
| "AM8-1-Spatial sampling for statistical analysis"                                                | "is_subconcept_of"   | "AM8-Geostatistics"                                                                              |
| "AM8-2-Principles of semi-variogram construction"                                                | "is_subconcept_of"   | "AM8-Geostatistics"                                                                              |
| "AM8-3-semi-variogram modeling"                                                                  | "is_subconcept_of"   | "AM8-Geostatistics"                                                                              |
| "AM8-4-Principles of kriging"                                                                    | "is_subconcept_of"   | "AM8-Geostatistics"                                                                              |
| "AM8-5-Kriging variants"                                                                         | "is_subconcept_of"   | "AM8-Geostatistics"                                                                              |
| "AM9-1-Principles of spatial econometrics"                                                       | "is_subconcept_of"   | "AM9-Spatial regression and econometrics"                                                        |
| "AM9-2-Spatial autoregressive models"                                                            | "is_subconcept_of"   | "AM9-Spatial regression and econometrics"                                                        |
| "AM9-3-Spatial filtering"                                                                        | "is_subconcept_of"   | "AM9-Spatial regression and econometrics"                                                        |
| "AM9-4-Spatial expansion and Geographically Weighted Regression GWR"                             | "is_subconcept_of"   | "AM9-Spatial regression and econometrics"                                                        |
| "AM10-1-Problems of large spatial databases"                                                     | "is_subconcept_of"   | "AM10-Data mining"                                                                               |
| "AM10-2-Data mining approaches"                                                                  | "is_subconcept_of"   | "AM10-Data mining"                                                                               |
| "AM10-3-Knowledge discovery"                                                                     | "is_subconcept_of"   | "AM10-Data mining"                                                                               |
| "AM10-4-Pattern recognition and matching"                                                        | "is_subconcept_of"   | "AM10-Data mining"                                                                               |
| "AM11-1-Networks defined"                                                                        | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM11-2-Graph theoretic descriptive measures of networks"                                        | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM11-3-Least-cost shortest path"                                                                | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM11-4-Flow modeling"                                                                           | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM11-5-The Classic Transportation Problem"                                                      | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM11-6-Other classic network problems"                                                          | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM11-7-Accessibility modeling"                                                                  | "is_subconcept_of"   | "AM11-Network analysis"                                                                          |
| "AM12-1-Operations research modeling and location modeling principles"                           | "is_subconcept_of"   | "AM12-Optimization and location-allocation modeling"                                             |
| "AM12-2-Linear programming"                                                                      | "is_subconcept_of"   | "AM12-Optimization and location-allocation modeling"                                             |
| "AM12-3-Integer programming"                                                                     | "is_subconcept_of"   | "AM12-Optimization and location-allocation modeling"                                             |
| "AM12-4-Location-allocation modeling and p-median problems"                                      | "is_subconcept_of"   | "AM12-Optimization and location-allocation modeling"                                             |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM1-Academic and analytical origins"                                                            |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM2-Query operations and query languages"                                                       |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM3-Geometric measures"                                                                         |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM3-Measuring Geometry"                                                                         |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM4-Basic analytical operations"                                                                |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM5-Basic analytical methods"                                                                   |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM6-Analysis of surfaces"                                                                       |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM7-Spatial statistics"                                                                         |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM8-Geostatistics"                                                                              |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM9-Spatial regression and econometrics"                                                        |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM10-Data mining"                                                                               |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM11-Network analysis"                                                                          |
| "AM-Analytical Methods"                                                                          | "is_superconcept_of" | "AM12-Optimization and location-allocation modeling"                                             |
| "AM1-Academic and analytical origins"                                                            | "is_superconcept_of" | "AM1-2-Analytical approaches"                                                                    |
| "AM1-Academic and analytical origins"                                                            | "is_superconcept_of" | "AM1-1-Academic foundations"                                                                     |
| "AM1-Academic and analytical origins"                                                            | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM2-Query operations and query languages"                                                       | "is_superconcept_of" | "AM2-3-Spatial queries"                                                                          |
| "AM2-Query operations and query languages"                                                       | "is_superconcept_of" | "AM2-1-Set theory"                                                                               |
| "AM2-Query operations and query languages"                                                       | "is_superconcept_of" | "AM2-2-Structured Query Language (SQL) and attribute queries"                                    |
| "AM2-Query operations and query languages"                                                       | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM3-Geometric measures"                                                                         | "is_superconcept_of" | "AM3-2-Direction"                                                                                |
| "AM3-Geometric measures"                                                                         | "is_superconcept_of" | "AM3-4-Area"                                                                                     |
| "AM3-Geometric measures"                                                                         | "is_superconcept_of" | "AM3-6-Adjacency and connectivity"                                                               |
| "AM3-Geometric measures"                                                                         | "is_superconcept_of" | "AM3-3-Shape"                                                                                    |
| "AM3-Geometric measures"                                                                         | "is_superconcept_of" | "AM3-1-Distances and lengths"                                                                    |
| "AM3-Geometric measures"                                                                         | "is_superconcept_of" | "AM3-5-Proximity and distance decay"                                                             |
| "AM3-Geometric measures"                                                                         | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM3-Measuring Geometry"                                                                         | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM4-Basic analytical operations"                                                                | "is_superconcept_of" | "AM4-2-Overlay"                                                                                  |
| "AM4-Basic analytical operations"                                                                | "is_superconcept_of" | "AM4-4-Map algebra"                                                                              |
| "AM4-Basic analytical operations"                                                                | "is_superconcept_of" | "AM4-3-Neighborhoods"                                                                            |
| "AM4-Basic analytical operations"                                                                | "is_superconcept_of" | "AM4-1-Buffers"                                                                                  |
| "AM4-Basic analytical operations"                                                                | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-4-Spatial interaction"                                                                      |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-8-Spatial process models"                                                                   |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-2-Kernels and density estimation"                                                           |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-6-Cartographic modeling"                                                                    |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-1-Point pattern analysis"                                                                   |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-5-Analyzing multidimensional attributes"                                                    |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-7-Multi-criteria evaluation"                                                                |
| "AM5-Basic analytical methods"                                                                   | "is_superconcept_of" | "AM5-3-Spatial cluster analysis"                                                                 |
| "AM5-Basic analytical methods"                                                                   | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM6-Analysis of surfaces"                                                                       | "is_superconcept_of" | "AM6-2-Interpolation of surfaces"                                                                |
| "AM6-Analysis of surfaces"                                                                       | "is_superconcept_of" | "AM6-4-Intervisibility"                                                                          |
| "AM6-Analysis of surfaces"                                                                       | "is_superconcept_of" | "AM6-1-Calculating surface derivatives"                                                          |
| "AM6-Analysis of surfaces"                                                                       | "is_superconcept_of" | "AM6-5-Friction surfaces"                                                                        |
| "AM6-Analysis of surfaces"                                                                       | "is_superconcept_of" | "AM6-3-Surface features"                                                                         |
| "AM6-Analysis of surfaces"                                                                       | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-5-Local measures of spatial association"                                                    |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-7-Bayesian methods"                                                                         |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-3-The spatial weights matrix"                                                               |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-1-Graphical methods"                                                                        |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-4-Global measures of spatial association"                                                   |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-6-Outliers"                                                                                 |
| "AM7-Spatial statistics"                                                                         | "is_superconcept_of" | "AM7-2-Stochastic processes"                                                                     |
| "AM7-Spatial statistics"                                                                         | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM8-Geostatistics"                                                                              | "is_superconcept_of" | "AM8-2-Principles of semi-variogram construction"                                                |
| "AM8-Geostatistics"                                                                              | "is_superconcept_of" | "AM8-4-Principles of kriging"                                                                    |
| "AM8-Geostatistics"                                                                              | "is_superconcept_of" | "AM8-5-Kriging variants"                                                                         |
| "AM8-Geostatistics"                                                                              | "is_superconcept_of" | "AM8-3-semi-variogram modeling"                                                                  |
| "AM8-Geostatistics"                                                                              | "is_superconcept_of" | "AM8-1-Spatial sampling for statistical analysis"                                                |
| "AM8-Geostatistics"                                                                              | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM9-Spatial regression and econometrics"                                                        | "is_superconcept_of" | "AM9-3-Spatial filtering"                                                                        |
| "AM9-Spatial regression and econometrics"                                                        | "is_superconcept_of" | "AM9-1-Principles of spatial econometrics"                                                       |
| "AM9-Spatial regression and econometrics"                                                        | "is_superconcept_of" | "AM9-4-Spatial expansion and Geographically Weighted Regression GWR"                             |
| "AM9-Spatial regression and econometrics"                                                        | "is_superconcept_of" | "AM9-2-Spatial autoregressive models"                                                            |
| "AM9-Spatial regression and econometrics"                                                        | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM10-Data mining"                                                                               | "is_superconcept_of" | "AM10-2-Data mining approaches"                                                                  |
| "AM10-Data mining"                                                                               | "is_superconcept_of" | "AM10-4-Pattern recognition and matching"                                                        |
| "AM10-Data mining"                                                                               | "is_superconcept_of" | "AM10-1-Problems of large spatial databases"                                                     |
| "AM10-Data mining"                                                                               | "is_superconcept_of" | "AM10-3-Knowledge discovery"                                                                     |
| "AM10-Data mining"                                                                               | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-4-Flow modeling"                                                                           |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-6-Other classic network problems"                                                          |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-2-Graph theoretic descriptive measures of networks"                                        |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-1-Networks defined"                                                                        |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-3-Least-cost shortest path"                                                                |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-7-Accessibility modeling"                                                                  |
| "AM11-Network analysis"                                                                          | "is_superconcept_of" | "AM11-5-The Classic Transportation Problem"                                                      |
| "AM11-Network analysis"                                                                          | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "AM12-Optimization and location-allocation modeling"                                             | "is_superconcept_of" | "AM12-3-Integer programming"                                                                     |
| "AM12-Optimization and location-allocation modeling"                                             | "is_superconcept_of" | "AM12-1-Operations research modeling and location modeling principles"                           |
| "AM12-Optimization and location-allocation modeling"                                             | "is_superconcept_of" | "AM12-4-Location-allocation modeling and p-median problems"                                      |
| "AM12-Optimization and location-allocation modeling"                                             | "is_superconcept_of" | "AM12-2-Linear programming"                                                                      |
| "AM12-Optimization and location-allocation modeling"                                             | "is_subconcept_of"   | "AM-Analytical Methods"                                                                          |
| "CF1-1-Metaphysics and ontology"                                                                 | "is_subconcept_of"   | "CF1-Philosophical foundations"                                                                  |
| "CF1-2-Epistemology"                                                                             | "is_subconcept_of"   | "CF1-Philosophical foundations"                                                                  |
| "CF1-3-Philosophical perspectives"                                                               | "is_subconcept_of"   | "CF1-Philosophical foundations"                                                                  |
| "CF2-1-Perception and cognition of geographic phenomena"                                         | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF2-2-From concepts to data"                                                                    | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF2-3-Geography as a foundation for GIS"                                                        | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF2-4-Place and landscape"                                                                      | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF2-5-Common-sense geographies"                                                                 | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF2-6-Cultural influences"                                                                      | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF2-7-Political influences"                                                                     | "is_subconcept_of"   | "CF2-Cognitive and social foundations"                                                           |
| "CF3-1-Space"                                                                                    | "is_subconcept_of"   | "CF3-Domains of geographic information"                                                          |
| "CF3-2-Time"                                                                                     | "is_subconcept_of"   | "CF3-Domains of geographic information"                                                          |
| "CF3-3-Relationships between space and time"                                                     | "is_subconcept_of"   | "CF3-Domains of geographic information"                                                          |
| "CF3-4-Properties"                                                                               | "is_subconcept_of"   | "CF3-Domains of geographic information"                                                          |
| "CF4-1-Discrete entities"                                                                        | "is_subconcept_of"   | "CF4-Elements of geographic information"                                                         |
| "CF4-2-Events and processes"                                                                     | "is_subconcept_of"   | "CF4-Elements of geographic information"                                                         |
| "CF4-3-Fields in space and time"                                                                 | "is_subconcept_of"   | "CF4-Elements of geographic information"                                                         |
| "CF4-4-Integrated models"                                                                        | "is_subconcept_of"   | "CF4-Elements of geographic information"                                                         |
| "CF5-1-Categories"                                                                               | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-2-Mereology: structural relationships"                                                      | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-3-Genealogical relationships: lineage, inheritance"                                         | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-4-Topological relationships"                                                                | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-5-Metrical relationships: distance and direction"                                           | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-6-Spatial distribution"                                                                     | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-7-Region"                                                                                   | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF5-8-Spatial integration"                                                                      | "is_subconcept_of"   | "CF5-Relationships"                                                                              |
| "CF6-1-Vagueness"                                                                                | "is_subconcept_of"   | "CF6-Imperfections in geographic information"                                                    |
| "CF6-2-Mathematical models of vagueness: Fuzzy sets and rough sets"                              | "is_subconcept_of"   | "CF6-Imperfections in geographic information"                                                    |
| "CF6-3-Error-based uncertainty"                                                                  | "is_subconcept_of"   | "CF6-Imperfections in geographic information"                                                    |
| "CF6-4-Mathematical models of uncertainty: Probability and statistics"                           | "is_subconcept_of"   | "CF6-Imperfections in geographic information"                                                    |
| "CF-Conceptual Foundations"                                                                      | "is_superconcept_of" | "CF1-Philosophical foundations"                                                                  |
| "CF-Conceptual Foundations"                                                                      | "is_superconcept_of" | "CF2-Cognitive and social foundations"                                                           |
| "CF-Conceptual Foundations"                                                                      | "is_superconcept_of" | "CF3-Domains of geographic information"                                                          |
| "CF-Conceptual Foundations"                                                                      | "is_superconcept_of" | "CF4-Elements of geographic information"                                                         |
| "CF-Conceptual Foundations"                                                                      | "is_superconcept_of" | "CF5-Relationships"                                                                              |
| "CF-Conceptual Foundations"                                                                      | "is_superconcept_of" | "CF6-Imperfections in geographic information"                                                    |
| "CF1-Philosophical foundations"                                                                  | "is_superconcept_of" | "CF1-2-Epistemology"                                                                             |
| "CF1-Philosophical foundations"                                                                  | "is_superconcept_of" | "CF1-3-Philosophical perspectives"                                                               |
| "CF1-Philosophical foundations"                                                                  | "is_superconcept_of" | "CF1-1-Metaphysics and ontology"                                                                 |
| "CF1-Philosophical foundations"                                                                  | "is_subconcept_of"   | "CF-Conceptual Foundations"                                                                      |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-4-Place and landscape"                                                                      |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-2-From concepts to data"                                                                    |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-6-Cultural influences"                                                                      |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-1-Perception and cognition of geographic phenomena"                                         |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-5-Common-sense geographies"                                                                 |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-7-Political influences"                                                                     |
| "CF2-Cognitive and social foundations"                                                           | "is_superconcept_of" | "CF2-3-Geography as a foundation for GIS"                                                        |
| "CF2-Cognitive and social foundations"                                                           | "is_subconcept_of"   | "CF-Conceptual Foundations"                                                                      |
| "CF3-Domains of geographic information"                                                          | "is_superconcept_of" | "CF3-1-Space"                                                                                    |
| "CF3-Domains of geographic information"                                                          | "is_superconcept_of" | "CF3-3-Relationships between space and time"                                                     |
| "CF3-Domains of geographic information"                                                          | "is_superconcept_of" | "CF3-4-Properties"                                                                               |
| "CF3-Domains of geographic information"                                                          | "is_superconcept_of" | "CF3-2-Time"                                                                                     |
| "CF3-Domains of geographic information"                                                          | "is_subconcept_of"   | "CF-Conceptual Foundations"                                                                      |
| "CF4-Elements of geographic information"                                                         | "is_superconcept_of" | "CF4-2-Events and processes"                                                                     |
| "CF4-Elements of geographic information"                                                         | "is_superconcept_of" | "CF4-4-Integrated models"                                                                        |
| "CF4-Elements of geographic information"                                                         | "is_superconcept_of" | "CF4-1-Discrete entities"                                                                        |
